phase,url,primary_topic,primary_entity,search_intent,primary_query_theme,secondary_queries,related_entities,relevant_questions,competing_internal_url,content_gap,recommended_action
baseline,https://robertdevore.com/how-to-build-a-content-engine-that-scales-with-you/,How to build a content engine that scales with you,How to build a content engine that scales with you,informational / problem-solving,how to build a content engine that scales with you,Why You Burn Out Without a Content System; Step 1: Define Your Content Flywheel; 1. Start With a Core Format; 2. Spin It Into Derivatives,"3. Feed the Next Cycle; Step 2: Build a Content Calendar You Can Actually Stick To; 1. Start With Your Capacity; 2. Plan Around Energy, Not Just Time",What is How to build a content engine that scales with you?; How does How to build a content engine that scales with you work?; Who is How to build a content engine that scales with you for?,,no verified modified date,retain; monitor search and citation performance
baseline,https://robertdevore.com/how-to-build-modular-prompts-that-save-you-hours-per-week/,How to Build Modular Prompts That Save You Hours Per Week,How to Build Modular Prompts That Save You Hours Per Week,informational / problem-solving,how to build modular prompts that save you hours per week,Why Modular Prompts Matter; What Modular Prompts Actually Are; The 5 Modules That Belong in Every Writer’s Kit; 1. Tone Module,2. Structure Module; 3. Intent Module; 4. Voice Module; 5. Format Module,What is How to Build Modular Prompts That Save You Hours Per Week?; How does How to Build Modular Prompts That Save You Hours Per Week work?; Who is How to Build Modular Prompts That Save You Hours Per Week for?,,no verified modified date,retain; monitor search and citation performance
baseline,https://robertdevore.com/how-to-customize-the-style-of-your-wordpress-login-screen/,How to customize the style of your WordPress login screen,How to customize the style of your WordPress login screen,informational / problem-solving,how to customize the style of your wordpress login screen,Using the new filter added in WP v5.2; Adding your logo with a custom filter; Extending the code to work with the customizer; Adding a logo image from the customizer,Adding text & button link styles from the customizer; Changing the login screen background color; See the code in action; Related Reading,What is How to customize the style of your WordPress login screen?; How does How to customize the style of your WordPress login screen work?; Who is How to customize the style of your WordPress login screen for?,,no verified modified date,retain; monitor search and citation performance
baseline,https://robertdevore.com/how-to-edit-ai-content-so-it-feels-clean-not-robotic/,"How to edit AI content so it feels clean, not robotic","How to edit AI content so it feels clean, not robotic",informational / problem-solving,"how to edit ai content so it feels clean, not robotic",Why AI Content Often Sounds Robotic; The 5-Part Editing Pass That Brings AI Content to Life; 1. Cut the Fat; 2. Break the Pattern,3. Add Specificity; 4. Sharpen the Voice; 5. Trim the Ending; Bonus: Use a Real-Time Editing Layer,"What is How to edit AI content so it feels clean, not robotic?; How does How to edit AI content so it feels clean, not robotic work?; Who is How to edit AI content so it feels clean, not robotic for?",,no verified modified date,retain; monitor search and citation performance
baseline,https://robertdevore.com/how-to-stop-your-plugins-themes-from-being-used-on-wordpress-com-hosting/,How to Stop Your Plugins & Themes from Being Used on WordPress.com Hosting,How to Stop Your Plugins & Themes from Being Used on WordPress.com Hosting,informational / problem-solving,how to stop your plugins & themes from being used on wordpress.com hosting,The Code; How the Code Works; Centralized Helper Class; Automatic Deactivation,User Feedback; Improved Code Structure; How to Use the Class; Why Use This Code?,What is How to Stop Your Plugins & Themes from Being Used on WordPress.com Hosting?; How does How to Stop Your Plugins & Themes from Being Used on WordPress.com Hosting work?; Who is How to Stop Your Plugins & Themes from Being Used on WordPress.com Hosting for?,,no verified modified date,retain; monitor search and citation performance
baseline,https://robertdevore.com/how-to-teach-ai-to-match-your-voice/,How to teach AI to match your voice,How to teach AI to match your voice,informational / problem-solving,how to teach ai to match your voice,Why AI Struggles With Voice; How to Make AI Write Like _You_; 1. Give It Real Voice Samples (Not Just Vibes); 2. Ask It to Describe Your Voice – Then Edit the Description,3. Create a “Sound Like Me” Prompt Wrapper; 4. Run a Voice Check – Every Time; 5. Fine-Tune With Contrast; Building Your Voice Layer,What is How to teach AI to match your voice?; How does How to teach AI to match your voice work?; Who is How to teach AI to match your voice for?,,no verified modified date,retain; monitor search and citation performance
baseline,https://robertdevore.com/how-to-use-ai-to-research-validate-ideas-and-stay-relevant/,"How to Use AI to Research, Validate Ideas, and Stay Relevant","How to Use AI to Research, Validate Ideas, and Stay Relevant",informational / problem-solving,"how to use ai to research, validate ideas, and stay relevant","Why Research _Matters_ Before You Write; 1. Use AI to Eavesdrop, Not Echo; 2. Validate the Angle Before You Commit; 3. Surface What’s Missing in the Conversation",4. Zoom Out Before You Zoom In; 5. Get Out of Your Own Feed; The Research-to-Relevance Flow; Bonus: 3 Prompts to Sharpen Your Idea,"What is How to Use AI to Research, Validate Ideas, and Stay Relevant?; How does How to Use AI to Research, Validate Ideas, and Stay Relevant work?; Who is How to Use AI to Research, Validate Ideas, and Stay Relevant for?",,no verified modified date,retain; monitor search and citation performance
baseline,https://robertdevore.com/how-to-write-prompts-that-get-the-tone-structure-and-intent-right/,"How to Write Prompts That Get the Tone, Structure, and Intent Right","How to Write Prompts That Get the Tone, Structure, and Intent Right",informational / problem-solving,"how to write prompts that get the tone, structure, and intent right",Why This Matters; Why Most Prompts Fall Flat; What’s Missing?; The 3 Elements Every Prompt Needs,1. Tone: _How should this feel?_; 2. Structure: _What shape should this take?_; 3. Intent: _What’s the takeaway?_; Example Breakdown,"What is How to Write Prompts That Get the Tone, Structure, and Intent Right?; How does How to Write Prompts That Get the Tone, Structure, and Intent Right work?; Who is How to Write Prompts That Get the Tone, Structure, and Intent Right for?",,no verified modified date,retain; monitor search and citation performance
baseline,https://robertdevore.com/hue-js/,? hue.js,? hue.js,informational,? hue.js,I forked a color picker for WordPress; Why a color picker for WordPress?; Sticking a fork in the Iris ?; Contributing to open source,? hue.js download; Adding hue.js to your project; Bug reports & Pull requests; Related Reading,What is ? hue.js?; How does ? hue.js work?; Who is ? hue.js for?,,no verified modified date,retain; monitor search and citation performance
baseline,https://robertdevore.com/i-built-a-python-stego-cipher-tool-and-you-can-have-it/,I Built a Python Stego-Cipher Tool (And You Can Have It),I Built a Python Stego-Cipher Tool (And You Can Have It),commercial investigation / product discovery,i built a python stego-cipher tool (and you can have it),The Cipher Got Smarter; 1. Encrypts Messages with Quote-Based Scrambling; 2. Decrypts Messages Cleanly; 3. Hides Encrypted Messages in Images,4. Command-Line Interface Included; 🧠 How It Works (Quick Version); Grab the Python Code; 🔎 Demo Mode Included,What is I Built a Python Stego-Cipher Tool (And You Can Have It)?; How does I Built a Python Stego-Cipher Tool (And You Can Have It) work?; Who is I Built a Python Stego-Cipher Tool (And You Can Have It) for?,,no verified modified date,retain; monitor search and citation performance
baseline,https://robertdevore.com/i-just-launched-a-python-course-for-php-developers/,I Just Launched a Python Course for PHP Developers,I Just Launched a Python Course for PHP Developers,commercial investigation / product discovery,i just launched a python course for php developers,The WordPress Ecosystem is Broken (And Getting Worse); Most PHP Devs Don’t Hate Python – They’re Just Stuck in Familiarity; This Isn’t “Python 101” – It’s a Translation Layer; Why I Built This (Hint: I Got Tired of Watching Good Devs Suffer),"The Real Benefits of Making the Switch; Who This Course Is Actually For; What You’ll Actually Learn (15 Lessons, No Fluff); Ready to Write Code You’re Actually Proud Of?",What is I Just Launched a Python Course for PHP Developers?; How does I Just Launched a Python Course for PHP Developers work?; Who is I Just Launched a Python Course for PHP Developers for?,,no verified modified date,retain; monitor search and citation performance
baseline,https://robertdevore.com/im-freelancing-again/,I’m freelancing again,I’m freelancing again,informational,i’m freelancing again,What I Offer; 🔧 Custom Development; 🔐 Security Audits; ⚡ Performance Optimization,🚀 MVP Website Builds; 🛠 Retainer Support; 🤘 Have Something Else in Mind?; Related Reading,What is I’m freelancing again?; How does I’m freelancing again work?; Who is I’m freelancing again for?,,no verified modified date,retain; monitor search and citation performance
baseline,https://robertdevore.com/improve-cls-scores-by-dynamically-setting-image-width-and-height/,Improve CLS scores by dynamically setting image width and height,Improve CLS scores by dynamically setting image width and height,informational / problem-solving,improve cls scores by dynamically setting image width and height,"What’s CLS, Anyway?; The issue with your images; Get media ID by image URL; Get width and height by image ID",Get the explicit width and height for HTML output; Bringing it all together; What do you think?; Related Reading,What is Improve CLS scores by dynamically setting image width and height?; How does Improve CLS scores by dynamically setting image width and height work?; Who is Improve CLS scores by dynamically setting image width and height for?,,no verified modified date,retain; monitor search and citation performance
